ID_Pas,Codi_Pas,M2_Pas,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Longitud,Latitud,X_ETRS89,Y_ETRS89,Data_Alta,Data_Baixa
8151386,255000000_Pastilla,9.99,1,Ciutat Vella,1,el Raval,2.1656229,41.3804598,430232.348,4581328.910,2000/01/01,2018/03/25
8151391,255000000_Pastilla,8.01,1,Ciutat Vella,1,el Raval,2.1655417,41.3805049,430225.608,4581333.950,2000/01/01,2018/03/25
8160816,255000000_Pastilla,15.10,1,Ciutat Vella,1,el Raval,2.1754478,41.3785306,431051.840,4581106.840,2000/01/01,2018/03/20
8151395,255000000_Pastilla,8.08,1,Ciutat Vella,1,el Raval,2.1654062,41.3794002,430213.098,4581211.450,2000/01/01,2018/03/25
8151399,255000000_Pastilla,6.04,1,Ciutat Vella,1,el Raval,2.1639110,41.3807960,430089.563,4581367.670,2000/01/01,
8151592,255000000_Pastilla,5.93,1,Ciutat Vella,1,el Raval,2.1663594,41.3794833,430292.893,4581219.883,2000/01/01,
9160831,255128000_Taco,2.50,1,Ciutat Vella,1,el Raval,2.1715905,41.3829090,430733.947,4581596.033,2017/10/20,2018/03/20
8160812,255000000_Pastilla,8.12,1,Ciutat Vella,1,el Raval,2.1744648,41.3775440,430968.608,4580998.140,2000/01/01,
8160806,255000000_Pastilla,6.82,1,Ciutat Vella,1,el Raval,2.1712653,41.3774379,430700.943,4580988.875,2000/01/01,
8171566,255128000_Taco,4.73,1,Ciutat Vella,1,el Raval,2.1770791,41.3739271,431183.396,4580594.484,2000/01/01,2017/12/14
9080462,255128000_Taco,2.75,1,Ciutat Vella,1,el Raval,2.1637091,41.3824207,430074.420,4581548.130,2018/01/22,
8171675,255128000_Taco,4.50,1,Ciutat Vella,1,el Raval,2.1755621,41.3745446,431057.197,4580664.229,2000/01/01,2015/03/31
8171792,255128000_Taco,13.00,1,Ciutat Vella,1,el Raval,2.1768144,41.3746336,431162.010,4580673.175,2000/01/01,2017/12/14
9080628,255128000_Taco,6.22,1,Ciutat Vella,1,el Raval,2.1671118,41.3857236,430362.463,4581912.090,2000/01/01,2018/01/21
8171876,255128000_Taco,4.00,1,Ciutat Vella,1,el Raval,2.1770418,41.3736806,431180.018,4580567.210,2000/01/01,2017/12/14
8160797,255000000_Pastilla,18.07,1,Ciutat Vella,1,el Raval,2.1719565,41.3770249,430758.302,4580942.566,2000/01/01,2009/08/31
8171916,255128000_Taco,5.86,1,Ciutat Vella,1,el Raval,2.1764974,41.3732368,431134.030,4580518.330,2000/01/01,
8171982,255128000_Taco,4.00,1,Ciutat Vella,1,el Raval,2.1766908,41.3733313,431150.295,4580528.648,2000/01/01,
8160789,255000000_Pastilla,15.67,1,Ciutat Vella,1,el Raval,2.1716304,41.3771874,430731.213,4580960.815,2000/01/01,2009/08/31
8151681,255000000_Pastilla,4.00,1,Ciutat Vella,1,el Raval,2.1690882,41.3801151,430521.740,4581287.880,2000/01/01,2016/08/21
8172144,255128000_Taco,7.36,1,Ciutat Vella,1,el Raval,2.1734725,41.3748914,430882.807,4580704.423,2000/01/01,
8160786,255000000_Pastilla,4.50,1,Ciutat Vella,1,el Raval,2.1717487,41.3778451,430741.797,4581033.747,2000/01/01,
